TrialType,CertainAmt,TopAmt,BottomAmt,Outcome,RiskSide,ITI,Rating,trialControl.thisRepN,trialControl.thisTrialN,trialControl.thisN,trialControl.thisIndex,revealLoop.thisRepN,revealLoop.thisTrialN,revealLoop.thisN,revealLoop.thisIndex,timeoutLoop.thisRepN,timeoutLoop.thisTrialN,timeoutLoop.thisN,timeoutLoop.thisIndex,HowHappyCheck.thisRepN,HowHappyCheck.thisTrialN,HowHappyCheck.thisN,HowHappyCheck.thisIndex,Win.started,Mouse.started,Keys.started,Mouse.x,Mouse.y,Mouse.leftButton,Mouse.midButton,Mouse.rightButton,Mouse.clicked_name,Keys.keys,Win_2.started,WinMsg.started,Win_3.started,WinMsg_2.started,Cross.started,Cross.stopped,Keys.rt,HowHappySlider.started,UnHappy.started,Happy.started,SliderKeyboard.started,SpacetoExit.started,HowHappySlider.response,HowHappySlider.rt,SliderKeyboard.keys,SliderKeyboard.rt,participant,session,date,expName,psychopyVersion,frameRate,
gain,0.4,0.0,0.73,bottom,left,1.76,0,0,0,0,71,,,,,,,,,,,,,14.20819509983994,0.03967679990455508,14.20819509983994,0.49537037037037035,0.1259259259259259,1,0,0,RightHalf,None,15.521275699837133,15.521275699837133,17.530028800014406,17.530028800014406,19.512993299867958,21.296311100013554,,,,,,,,,,,,001,2022-12-12_16h09.38.797,SWB_debug,2022.2.4,59.96555571798581,
mix,0.0,-1.5,0.45,top,right,1.87,0,0,1,1,28,,,,,,,,,,,,,21.296311100013554,0.021715099923312664,21.296311100013554,-0.10462962962962963,0.16574074074074074,1,0,0,LeftHalf,None,22.547428499907255,22.547428499907255,24.55765699991025,24.55765699991025,26.549015499884263,28.437623200006783,,,,,,,,,,,,001,2022-12-12_16h09.38.797,SWB_debug,2022.2.4,59.96555571798581,
loss,-0.6,-1.09,0.0,bottom,right,1.93,1,0,2,2,141,,,,,,,,,,,,,28.437623200006783,0.010747599881142378,28.437623200006783,0.19444444444444445,0.0824074074074074,0,0,0,,right,29.30712449993007,29.30712449993007,31.32303089997731,31.32303089997731,35.71782110002823,37.65499009983614,0.8457800000905991,33.361528399866074,33.361528399866074,33.361528399866074,34.79183409991674,34.79183409991674,5.075,1.442027699900791,left,0.8997017000801861,,001,2022-12-12_16h09.38.797,SWB_debug,2022.2.4,59.96555571798581,
mix,0.0,-1.1,0.22,bottom,left,1.81,0,0,3,3,21,,,,,,,,,,,,,37.65499009983614,0.007990399841219187,37.65499009983614,-0.04722222222222222,-0.1259259259259259,1,0,0,LeftHalf,None,41.5660866999533,41.5660866999533,43.58343659993261,43.58343659993261,45.57293769996613,47.39467049995437,,,,,,,,,,,,001,2022-12-12_16h09.38.797,SWB_debug,2022.2.4,59.96555571798581,
gain,0.2,0.0,0.84,bottom,right,1.6,0,0,4,4,58,,,,,,,,,,,,,47.39467049995437,0.011103499913588166,47.39467049995437,0.8314814814814815,-0.2657407407407407,0,0,0,,left,47.868882099865004,47.868882099865004,49.88520969985984,49.88520969985984,51.8753269999288,53.47814460005611,0.44152000010944903,,,,,,,,,,,001,2022-12-12_16h09.38.797,SWB_debug,2022.2.4,59.96555571798581,
loss,-0.3,-1.26,0.0,top,right,1.68,0,0,5,5,118,,,,,,,,,,,,,53.47814460005611,0.009247400099411607,53.47814460005611,0.8314814814814815,-0.2657407407407407,0,0,0,,right,53.8693673000671,53.8693673000671,55.88729460001923,55.88729460001923,62.5565281000454,64.24919099989347,0.3578843001741916,57.88929590000771,57.88929590000771,57.88929590000771,60.913904999848455,60.913904999848455,4.9,3.003675599815324,space,1.6174389002844691,,001,2022-12-12_16h09.38.797,SWB_debug,2022.2.4,59.96555571798581,
gain,0.4,0.0,0.89,bottom,right,1.02,0,0,6,6,73,,,,,,,,,,,,,64.24919099989347,0.009293299866840243,64.24919099989347,0.21388888888888888,-0.1712962962962963,0,0,0,,left,64.64023089990951,64.64023089990951,66.65667419997044,66.65667419997044,68.64840040006675,69.68661029986106,0.3541864000726491,,,,,,,,,,,001,2022-12-12_16h09.38.797,SWB_debug,2022.2.4,59.96555571798581,
mix,0.0,-0.5,0.2,top,left,1.39,0,0,7,7,9,,,,,,,,,,,,,69.68661029986106,0.010780599899590015,69.68661029986106,0.21388888888888888,-0.1712962962962963,0,0,0,,right,70.05665279994719,70.05665279994719,72.0775166999083,72.0775166999083,74.06714769988321,75.46957389987074,0.342044000281021,,,,,,,,,,,001,2022-12-12_16h09.38.797,SWB_debug,2022.2.4,59.96555571798581,
,,,,,,,,,,,,,,,,,,,,,,,,75.46957389987074,0.0071083998773247,75.46957389987074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
